time	temp
0.00273224	0.1
0.005464481	-4.5
0.008196721	-6.3
0.010928962	-9.6
0.013661202	-9.9
0.016393443	-17.1
0.019125683	-11.6
0.021857923	-6.2
0.024590164	-6.4
0.027322404	-0.5
0.030054645	0.5
0.032786885	-2.4
0.035519126	-7.5
0.038251366	-16.8
0.040983607	-16.6
0.043715847	-14.6
0.046448087	-9.6
0.049180328	-5.8
0.051912568	-8.6
0.054644809	-9.0
0.057377049	-9.7
0.06010929	-6.9
0.06284153	-3.9
0.06557377	1.4
0.068306011	1.9
0.071038251	4.3
0.073770492	6.9
0.076502732	4.3
0.079234973	5.9
0.081967213	3.8
0.084699454	1.5
0.087431694	0.1
0.090163934	4.6
0.092896175	0.8
0.095628415	-0.5
0.098360656	-1.0
0.101092896	4.2
0.103825137	6.6
0.106557377	4.8
0.109289617	4.7
0.112021858	1.3
0.114754098	0.9
0.117486339	-2.8
0.120218579	-3.3
0.12295082	-5.3
0.12568306	-6.8
0.128415301	-5.1
0.131147541	-2.6
0.133879781	-0.5
0.136612022	-0.5
0.139344262	0.1
0.142076503	1.7
0.144808743	2.4
0.147540984	-0.9
0.150273224	-1.3
0.153005464	-1.4
0.155737705	-0.1
0.158469945	-0.7
0.161202186	-2.6
0.163934426	-4.1
0.166666667	-2.7
0.169398907	0.7
0.172131148	2.0
0.174863388	1.7
0.177595628	0.9
0.180327869	0.3
0.183060109	0.9
0.18579235	1.1
0.18852459	0.1
0.191256831	-0.9
0.193989071	0.2
0.196721311	0.1
0.199453552	1.0
0.202185792	3.4
0.204918033	5.2
0.207650273	4.9
0.210382514	4.9
0.213114754	2.2
0.215846995	2.9
0.218579235	5.3
0.221311475	3.7
0.224043716	3.4
0.226775956	2.1
0.229508197	1.8
0.232240437	4.3
0.234972678	7.0
0.237704918	7.7
0.240437158	6.2
0.243169399	7.5
0.245901639	4.9
0.24863388	4.4
0.25136612	3.8
0.254098361	6.4
0.256830601	8.0
0.259562842	7.9
0.262295082	8.9
0.265027322	6.6
0.267759563	6.5
0.270491803	5.8
0.273224044	5.6
0.275956284	4.7
0.278688525	5.5
0.281420765	5.5
0.284153005	5.8
0.286885246	5.3
0.289617486	6.9
0.292349727	5.9
0.295081967	6.1
0.297814208	6.6
0.300546448	6.7
0.303278689	6.5
0.306010929	7.0
0.308743169	5.8
0.31147541	3.0
0.31420765	2.5
0.316939891	2.4
0.319672131	4.3
0.322404372	2.8
0.325136612	3.6
0.327868852	6.8
0.330601093	9.1
0.333333333	8.4
0.336065574	9.3
0.338797814	13.3
0.341530055	10.6
0.344262295	10.5
0.346994536	11.8
0.349726776	14.7
0.352459016	16.2
0.355191257	16.4
0.357923497	16.9
0.360655738	12.3
0.363387978	10.2
0.366120219	11.2
0.368852459	6.1
0.371584699	6.4
0.37431694	6.1
